,mean_rated,height,weight,club,leagueCountry,games,victories,ties,defeats,goals,yellowCards,yellowReds,redCards,YC_IAT,YR_IAT,RC_IAT,YC_EXP,YR_EXP,RC_EXP
434,1.0,190.0,75.0,82,0,450.0,234.0,116.0,100.0,170.0,43.0,1.0,5.0,4.92571113371,0.183225735076,0.0142038992925,3.77654203688,0.18849532768,0.0154976331427
435,1.0,176.0,71.0,75,0,141.0,46.0,37.0,58.0,33.0,11.0,0.0,0.0,1.69137783069,0.0,0.0,1.68117650279,0.0,0.0
436,1.0,183.0,78.0,93,0,358.0,120.0,88.0,150.0,14.0,33.0,1.0,0.0,2.09980029922,0.0,0.0217793122484,2.29105642332,0.0,0.0237630374854
437,0.0,170.0,68.0,10,3,465.0,241.0,103.0,121.0,43.0,100.0,5.0,4.0,13.0686147148,0.583918130223,0.869376507549,16.2302543267,0.750110661703,2.02424060391
438,0.0,184.0,82.0,12,2,117.0,60.0,23.0,34.0,11.0,34.0,1.0,0.0,8.11209890892,0.0,0.357363192522,9.75234281522,0.0,0.449468085106
439,0.0,183.0,74.0,8,0,49.0,12.0,9.0,28.0,0.0,8.0,0.0,0.0,2.57058292079,0.0,0.0,4.33737613471,0.0,0.0
440,0.0,190.0,83.0,2,2,288.0,133.0,71.0,84.0,70.0,27.0,1.0,0.0,3.34877504149,0.0,0.0673256325285,3.52373695557,0.0,0.0671933784801
441,1.0,186.0,75.0,28,3,457.0,268.0,107.0,82.0,2.0,34.0,0.0,4.0,3.5351527673,0.39628307825,0.0,4.7639878284,0.704397860704,0.0
442,0.0,183.0,74.0,24,2,104.0,42.0,13.0,49.0,16.0,14.0,0.0,2.0,1.81538759139,0.673256325285,0.0,1.81182145544,0.671933784801,0.0
443,0.0,177.0,72.0,24,2,274.0,120.0,61.0,93.0,89.0,23.0,0.0,0.0,2.32916136872,0.0,0.0,3.01049566,0.0,0.0
444,0.0,175.0,65.0,84,1,347.0,133.0,94.0,120.0,14.0,44.0,3.0,0.0,2.20598750479,0.0,0.0703234614482,2.23309925274,0.0,0.0706212142778
445,0.0,183.0,73.0,1,2,254.0,96.0,63.0,95.0,9.0,65.0,1.0,2.0,8.08729655044,0.0841570406607,0.112209387548,10.5197636821,0.0839917231001,0.111988964133
446,1.0,183.0,80.0,22,3,210.0,98.0,51.0,61.0,6.0,28.0,1.0,0.0,4.08139588565,0.0,0.369893594187,7.24021796857,0.0,0.588297311545
447,0.0,174.0,71.0,86,3,310.0,160.0,75.0,75.0,15.0,75.0,4.0,1.0,8.8364804366,0.326689683727,0.240292455811,13.7770900057,0.356445562282,0.395464566884
448,0.0,173.0,71.0,58,1,396.0,195.0,97.0,104.0,97.0,62.0,0.0,4.0,6.97044444178,0.485759833116,0.0,10.3298367443,0.684556899552,0.0
449,0.0,169.0,59.0,71,2,85.0,36.0,19.0,30.0,3.0,11.0,0.0,1.0,2.08784384275,0.184946797094,0.0,3.32061149183,0.294148655772,0.0
450,0.0,196.0,93.0,32,2,136.0,48.0,33.0,55.0,0.0,9.0,0.0,2.0,1.87389677204,0.336628162643,0.0,1.87021570103,0.3359668924,0.0
451,0.0,178.0,64.0,2,2,276.0,95.0,75.0,106.0,12.0,8.0,0.0,0.0,0.792919648747,0.0,0.0,0.846121251352,0.0,0.0
452,0.0,169.0,70.0,36,3,251.0,103.0,57.0,91.0,46.0,37.0,3.0,5.0,4.42948624878,0.684903358098,0.185276701961,7.85835521663,1.24278788813,0.316681340336
453,0.0,188.0,89.0,29,1,240.0,76.0,79.0,85.0,0.0,11.0,0.0,5.0,0.5660407794,0.30121550626,0.0,0.568437422572,0.302490866822,0.0
454,0.0,176.0,68.0,23,1,267.0,104.0,65.0,98.0,36.0,28.0,3.0,1.0,2.56564502251,0.0362719752102,0.556170286557,3.41713363091,0.0568785437183,0.872137670347
455,0.0,180.0,73.0,44,0,119.0,53.0,25.0,41.0,32.0,17.0,1.0,0.0,3.73461278554,0.0,0.313658246376,4.82553066831,0.0,0.491452991453
456,0.0,179.0,70.0,65,3,242.0,149.0,38.0,55.0,16.0,51.0,5.0,1.0,7.60421349919,0.0924733985468,0.681007640689,11.691230118,0.147074327886,1.30077800982
457,0.0,172.0,65.0,59,0,94.0,47.0,18.0,29.0,4.0,14.0,0.0,2.0,1.88150963946,0.147010357677,0.0,2.25370671458,0.160400503027,0.0
458,0.0,176.0,69.0,55,1,259.0,105.0,79.0,75.0,13.0,16.0,0.0,0.0,0.631929602197,0.0,0.0,0.634605221731,0.0,0.0
459,0.0,177.0,74.0,3,1,91.0,31.0,32.0,28.0,4.0,15.0,1.0,1.0,3.21613653577,0.111561298615,0.336628162643,3.22036424507,0.112033654378,0.3359668924
